gene_name,Day 0,Day 5,Day 9,Day 12,Day 15
ABCA3,6.384904559,10.48461946,59.20112713,66.29167532,58.49307941
ABCA4,2.234357648,1.835180802,4.38548728,3.882736854,6.114995789
ABCB6,25.28027843,18.99803778,34.09023346,45.52388001,44.24775595
ABCC2,1.16601614,1.392870818,0.643138476,0.599916971,0.481810444
ABCC8,0,1.563713659,3.364933736,2.196095135,0.060309996
ACAN,20.32067155,23.47900518,0.255888311,0.084039781,0.051408437
ACSL6,0.015032325,0.341153203,1.45225664,3.333832764,1.190698938
ACTC1,4.578594429,1843.898021,4662.707543,5647.626951,4383.914292
ACTN2,0.303822972,9.678017379,142.3256855,280.606559,233.751348
ACVR2B,3.471458331,4.300421841,2.537467169,2.838369353,2.40463208
ADAMTS17,0.064889605,0.199902529,1.185127883,4.609880446,5.45434984
ADAMTS3,1.878006842,1.634330585,0.451151573,0.273888953,0.339335291
ADAMTS9,3.439238116,2.676433905,53.66861097,244.2168313,361.7721226
ADAMTSL2,0.03334283,3.192545349,16.30923358,21.19911881,8.721646041
ADAT3,3.493867361,4.56902748,6.428471698,5.68376039,3.760522162
ADCY1,2.032272283,1.105272284,2.551597181,3.85092986,3.355610219
ADCY5,0.814246071,1.243946841,1.313629464,0.766838082,0.83991106
AFF2,5.473372375,9.58433139,3.36895004,2.962654788,4.274079969
AFF3,47.25048335,4.116688522,15.4046484,27.40578631,40.75909539
AGT,0.759060379,8.35465259,114.1376309,95.60601832,19.47981724
AGTR1,6.822573135,6.733153766,1.443349854,1.363148184,3.770414746
AIRE,0.222612596,7.930318942,11.98268166,15.85139714,1.96187299
AKAP3,0.587819346,1.005530715,0.882110076,1.300943715,3.572267742
AKR1C2,34.29357074,13.33900964,12.14444212,12.27796111,13.29016209
ALDH1A2,0.457691925,0.081493007,0.562446504,4.198328397,2.384912042
ALG10,2.973301056,3.226094022,2.637093803,1.509456997,3.04465537
ALG11,53.34705978,52.40281306,59.93368462,52.13451191,55.01952217
ALOXE3,0.136633033,5.481662518,0.417300095,0.496112811,0
ALPK3,0.608472883,38.34249148,81.90552151,104.6535906,103.6138667
AMER1,10.58448778,6.859146222,10.35552498,8.367492752,8.625178466
AMH,1.036230495,1.195250385,1.175060553,2.054587672,1.436144757
AMN,0.162519811,0.275872311,2.252962593,3.184314769,0.621206662
AMPD1,0.035230621,0.214238541,1.28433666,4.175677915,1.173425194
AMT,6.004537538,3.061727113,2.170824021,6.47176389,3.765045384
ANG,10.58412301,4.086480051,2.767627568,3.284394927,2.665811156
ANK1,1.330841739,40.99295268,99.02449424,69.54365467,4.864211304
ANK2,30.26531993,43.15192207,120.2490215,106.1589645,87.26319993
ANK3,0.574965981,0.391102585,2.33600524,1.990685769,6.066003789
ANKS1B,0.282946602,0.051244116,0.753042577,1.716433565,1.052307838
ANO3,3.467979102,1.706588056,0.15871428,0.036642955,0.204144042
ANO5,0.031160537,0.412165246,2.390252097,1.50369129,0.274900791
AP3B2,0.585141034,1.030871748,0.181601324,1.107789189,0.620035731
